County,Postion,Name,Physical Address,Zip Code,Mailing Address,County Email Addresses,Phone ,Fax,Primary Email ,Secondary Email
STONEWALL COUNTY,District & County Clerk,Holly D’Ann McLaury,"128 Town Square Lane, Aspermont, TX 79502",79502,"P.O. Drawer P, Aspermont 79502",County Email Address,(940) 989-2272,(940) 989-2032,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
SUTTON COUNTY,District & County Clerk,Pam Thorp,"300 E. Oak, Ste. 3, Sonora 76950",76950,"300 E. Oak, Ste. 3, Sonora 76950",County Email Address,(325) 387-3815,(325) 387-6028,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
SWISHER COUNTY,Elections Administrator,Maridel Montgomery,"119 S. Maxwell, Basement, Tulia 79088",79088,"Courthouse 119 S. Maxwell, Room 107, Tulia 79088",County Email Address,(806) 995-2363,(806) 995-2214,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
TARRANT COUNTY,Elections Administrator,Clint A. Ludwig,"2700 Premier Street, Fort Worth, TX 76111",76111,"P.O. Box 961011, Fort Worth, TX 76161",County Email Address,(817) 831-8683,(817) 850-2344,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
TAYLOR COUNTY,Elections Administrator,Freda Ragan,"400 Oak Street, Suite 101, Abilene, TX 79602",79602,"P.O. Box 3318, Abilene, TX 79604",County Email Address,(325) 674-1216,(325) 674-1340,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
TERRELL COUNTY,District & County Clerk,Brittany Rivera,"105 E. Hackberry Street, Sanderson 79848",79848,"P.O. Drawer 410, Sanderson, Texas 79848",County Email Address,(432) 345-2391, (432) 345-2740,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
TERRY COUNTY,Elections Administrator,Crissy Franco,"507-A W. Main, Brownfield, Texas 79316",79316,"507 W. Main, Brownfield 79316",County Email Address,(806) 300-8965,(806) 637-3807,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
THROCKMORTON COUNTY,Elections Administrator,Pam Thompson,"117 W Chestnut St, Throckmorton, TX 76483",76483,"P.O. Box 339, Throckmorton 76483",County Email Address,(940) 849-8825,(940) 849-8826,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
TITUS COUNTY,Elections Administrator,Michelle Whorton,"110 S. Madison Ave.., Suite C, Mt. Pleasant 75455",75455,"110 S. Madison Ave.., Suite C, Mt. Pleasant 75455",County Email Address,(903) 575-0902,(903) 575-1117,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
TOM GREEN COUNTY,Elections Administrator,Vona Hudson,"113 W. Beauregard Ave., San Angelo 76903",76903,"113 W. Beauregard Ave., San Angelo 76903",County Email Address,(325) 659-6541,(325) 657-9226,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
TRAVIS COUNTY,County Clerk,Dyana Limon-Mercado,"5501 Airport Boulevard, Austin, TX 78751-1410",-1410,"P.O. Box 149325, Austin 78714-9325",County Email Address,(512) 854-4996,FAX: (512) 854-3969,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
TRINITY COUNTY,Elections Administrator,Priscilla Rasbeary,"219 W. 1st Street, Groveton, TX 75845",75845,"P.O. Box 158, Groveton 75845",County Email Address,(936) 642-3959,(936) 642-0155,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
TYLER COUNTY,County Clerk,Janet Brown ,"116 S. Charlton Street, Woodville 75979",75979,"116 S. Charlton Street, Woodville 75979",County Email Address,(409) 283-2281,,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
UPSHUR COUNTY,Elections Administrator,Lory Harle,"115 Simpson St., Gilmer, TX 75644",75644,"115 Simpson St., Gilmer, TX 75644",County Email Address,(903) 680-8506,(903) 843-5492,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
UPTON COUNTY,Elections Administrator,Hayley Abalos,"1000 N. Rankin St. Rankin, TX 79778",79778,"P.O. Box 65, Rankin 79778",County Email Address,(432) 693-2014,(432) 693-2333,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
UVALDE COUNTY,Elections Administrator,Christine White,"#2 Courthouse Square, Uvalde 78801",78801,"#2 Courthouse Square, Uvalde 78801",County Email Address,(830) 591-2724 ext. 575,(830) 261-5687,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
VAL VERDE COUNTY,County Clerk,Teresa Esther Chapoy,"400 Pecan Street, Del Rio, TX 78840",78840,"P.O. Box 1267, Del Rio 78841-1267",County Email Address,(830) 774-7564,(830) 774-7608,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
VAN ZANDT COUNTY,Elections Administrator ,Shannon Maddox,"121 E. Dallas, Rm. 113, Canton 75103",75103,"121 E. Dallas, Rm. 113, Canton 75103",County Email Address,(903) 567-3895,(903) 567-6722,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
VICTORIA COUNTY,Elections Administrator,Margetta Hill,"2805 N. Navarro St., Ste 500, Victoria 77901-3947",-3947,"2805 N. Navarro St., Ste 500, Victoria 77901-3947",County Email Address,(361) 576-0124,(361) 582-5940,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
WALKER COUNTY,Tax Assessor-Collector,Diana McRae,"1301 Sam Houston Ave., Suite 114, Huntsville 77340",77340,"1301 Sam Houston Ave., Suite 114, Huntsville 77340",County Email Address,(936) 436-4959,(936) 436-4961,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
WALLER COUNTY,Elections Administrator,Christy A. Eason,"425 FM 1488, Ste., 112 Hempstead 77445",77445,"425 FM 1488, Ste., 112 Hempstead 77445",County Email Address,(979) 826-7643,(979) 826-7645,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
WARD COUNTY,County Clerk,Denise Valles,"400 South Allen St., Ste. 101, Monahans 79756",79756,"400 South Allen St., Ste. 101, Monahans 79756",County Email Address,(432) 943-3294,(432) 943-6054,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
WASHINGTON COUNTY,Elections Administrator,Carol Jackson,"100 E. Main, Suite 105, Brenham 77833",77833,"100 E. Main, Suite 102, Brenham 77833",County Email Address,(979) 277-6264,(979) 277-6213,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
WEBB COUNTY,Elections Administrator,Jose Luis Castillo,"1110 Washington St. Ste. 103, Laredo, Texas 78040",78040,"P.O. Box 29, Laredo 78042-0029           ",County Email Address,(956) 523-4050,(956) 523-5006,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
WHARTON COUNTY,Elections Administrator,Marsha Barbee,"315 East Milam Street, Suite 103, Wharton, TX 77488 ",7488 ,"P.O. Box 390, Wharton 77488-0390",County Email Address,(979) 532-0193,(979) 282-2034,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
WHEELER COUNTY,County Clerk,Margaret Dorman,"401 South Main Street, Wheeler,TX 79096",79096,"Box 465, Wheeler 79096",County Email Address,(806) 826-5544,(806) 826-3282,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
WICHITA COUNTY,Elections Administrator ,Robin Fincannon,"900 7th Street, Room 104, Wichita Falls, TX 76301",76301,"900 7th Street, Room 104, Wichita Falls, TX 76301",County Email Address,940-766-8174,(940) 716-8554,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
WILBARGER COUNTY,County Clerk,Jana Kennon,"1700 Wilbarger St., Rm. 15, Vernon 76384",76384,"1700 Wilbarger St., Rm. 15, Vernon 76384",County Email Address,(940) 552-5486,(940) 553-1202,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
WILLACY COUNTY,Elections Administrator,Christina Rodriguez Torres,"190 N. 3rd St., Raymondville 78580",78580,"190 N. 3rd St., Raymondville 78580",County Email Address,(956) 689-2387,(956) 689-5341,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
WILLIAMSON COUNTY,Elections Administrator,Bridgette Escobedo,"301 S.E. Inner Loop, Suite 104, Georgetown 78626",78626,"P.O. Box 209, Georgetown 78627",County Email Address,(512) 943-1630,(512) 943-1634,Submit your Application for Ballot By Mail  via email,Submit your Federal Postcard Application via email
WILSON COUNTY,Elections Administrator,Olga M. Marrero,"1103 4th St., Building B, Suite 101, Floresville 78114",78114,"P.O. Box 188, Floresville, Texas 78114",County Email Address,(830) 393-7380,(830) 393-3725,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
WINKLER COUNTY,County Clerk,Pam Greene,"100 East Winkler Street, Kermit, TX 79745",79745,"P.O. Box 1007, Kermit 79745",County Email Address,(432) 586-3401,FAX: None,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
WISE COUNTY,Elections Administrator,Sabra Srader,"200 S.Trinity Street, Decatur, TX 76234",76234,"P.O. Box 1597, Decatur 76234",County Email Address,(940) 626-4453,(940) 626-4283,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
WOOD COUNTY,Elections Administrator,Laura Wise,"200 West Bermuda Street, Quitman, TX 75783",75783,"P.O. Box 970, Quitman 75783",County Email Address,(903) 763-2400,(903) 763-2401,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
YOAKUM COUNTY,County Clerk,Summer Lovelace,"609 Cowboy Way, Plains, TX 79355",79355,"P.O. Box 309, Plains 79355",County Email Address,(806) 456-7491 ext. 294,(806) 456-2258,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
YOUNG COUNTY,Elections Administrator,Kaitlyn M. Mosley,"417 2nd St. Rm. 105, Graham 76450",76450,"417 2nd St. Rm. 105, Graham 76450",County Email Address,(940) 521-9483,(940) 221-2104,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
ZAPATA COUNTY,County Clerk,Mary Jayne Villarreal-Bonoan,"200 E. 7th Ave., Ste.138, Zapata 78076",78076,"200 E. 7th Ave., Ste.138, Zapata 78076",County Email Address,(956) 765-9915,(956) 765-9933,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
ZAVALA COUNTY,County Clerk,Michelle B. Urrabazo,"200 E. Uvalde St., Ste 7, Crystal City 78839",78839,"200 E. Uvalde St., Ste 7, Crystal City 78839",County Email Address,(830) 374-2331,(830) 374-5955,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
